Game ID	Game Duration	Winning Team	Summoner 0 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 1 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 2 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 3 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 4 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 5 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 6 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 7 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 8 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 9 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists
3531374797	2388	200	Delmar	100	Ezreal	JUNGLE	LOSE	7	7	7	Demonclaw	100	Jinx	ADC	LOSE	8	10	7	Aeternalis1	100	Leblanc	MID	LOSE	7	2	8	I Am Oldman	100	Swain	SUPPORT	LOSE	2	12	14	Sceptalgic	100	Jax	TOP	LOSE	5	5	5	CondemmedChicken	200	Teemo	TOP	WIN	4	6	2	G2000mime	200	Lucian	ADC	WIN	9	7	15	BOB YAAA	200	Warwick	JUNGLE	WIN	7	4	6	Threepointstar	200	TahmKench	SUPPORT	WIN	12	5	8	Yeliang	200	Lillia	MID	WIN	4	7	5
3533720060	1771	200	Kliyle	100	Lulu	MID	LOSE	3	7	5	G2000mime	100	Sivir	MID	LOSE	2	9	4	DukeCapone	100	Hecarim	JUNGLE	LOSE	2	7	7	YummyRicez	100	Garen	TOP	LOSE	5	4	4	Sceptalgic	100	Soraka	SUPPORT	LOSE	0	6	6	Delmar	200	Lucian	ADC	WIN	12	3	3	Threepointstar	200	Blitzcrank	SUPPORT	WIN	2	1	13	Yeliang	200	Ryze	MID	WIN	8	3	6	Aeternalis1	200	JarvanIV	JUNGLE	WIN	10	1	17	CondemmedChicken	200	Malphite	TOP	WIN	1	4	9
3533525053	1481	200	Kliyle	100	Ekko	JUNGLE	LOSE	3	3	6	Yeliang	100	Leona	SUPPORT	LOSE	5	7	7	CondemmedChicken	100	Teemo	MID	LOSE	3	7	6	YummyRicez	100	Tristana	ADC	LOSE	6	4	10	Dulk	100	Gangplank	TOP	LOSE	4	7	4	funmblr	200	Vayne	ADC	WIN	3	6	8	Doplare	200	Galio	MID	WIN	6	2	12	imthebeast123	200	Hecarim	JUNGLE	WIN	4	6	10	Yarna	200	Fiora	TOP	WIN	14	2	5	China Model	200	Sett	SUPPORT	WIN	1	5	6
3533535828	1820	200	G2000mime	100	Lucian	TOP	LOSE	0	4	0	Aeternalis1	100	LeeSin	JUNGLE	LOSE	1	7	2	DukeCapone	100	Thresh	SUPPORT	LOSE	0	9	1	Threepointstar	100	Nasus	TOP	LOSE	4	6	2	Delmar	100	Leblanc	ADC	LOSE	5	9	0	CondemmedChicken	200	Urgot	TOP	WIN	5	4	5	Sceptalgic	200	Hecarim	JUNGLE	WIN	12	1	11	MQ2000	200	Morgana	SUPPORT	WIN	2	1	9	BOB YAAA	200	Corki	ADC	WIN	6	1	6	YummyRicez	200	Annie	MID	WIN	10	3	8
3533536112	2715	100	CondemmedChicken	100	Garen	TOP	WIN	9	7	2	Threepointstar	100	Xerath	SUPPORT	WIN	4	7	11	Delmar	100	Lucian	ADC	WIN	9	6	11	MQ2000	100	Ekko	MID	WIN	9	7	10	BOB YAAA	100	Gragas	JUNGLE	WIN	1	7	16	Aeternalis1	200	Velkoz	SUPPORT	LOSE	9	5	9	DukeCapone	200	Kindred	JUNGLE	LOSE	7	8	9	G2000mime	200	Ashe	ADC	LOSE	3	7	11	Sceptalgic	200	Mordekaiser	TOP	LOSE	6	5	3	Yeliang	200	Qiyana	MID	LOSE	9	7	4
3533718900	1484	200	BOB YAAA	100	Amumu	JUNGLE	LOSE	4	8	5	CondemmedChicken	100	Darius	TOP	LOSE	1	8	3	Yeliang	100	Fizz	MID	LOSE	2	4	0	G2000mime	100	Yone	SUPPORT	LOSE	1	8	4	Threepointstar	100	Yasuo	ADC	LOSE	3	7	2	Kliyle	200	Caitlyn	ADC	WIN	8	2	9	Sceptalgic	200	Evelynn	JUNGLE	WIN	9	3	5	Delmar	200	Talon	MID	WIN	12	3	6	MQ2000	200	Fiora	TOP	WIN	5	2	13	Demonclaw	200	Leona	SUPPORT	WIN	1	1	14
3518218874	2340	200	CondemmedChicken	100	Urgot	TOP	LOSE	8	7	10	G2000mime	100	Qiyana	MID	LOSE	4	13	12	MQ2000	100	Syndra	ADC	LOSE	2	8	10	Sceptalgic	100	Volibear	JUNGLE	LOSE	6	5	10	Aeternalis1	100	Xerath	SUPPORT	LOSE	8	6	7	Delmar	200	Talon	MID	WIN	17	6	4	Yeliang	200	Udyr	ADC	WIN	3	4	12	Threepointstar	200	Zilean	SUPPORT	WIN	7	2	12	I Am Oldman	200	Sett	TOP	WIN	7	9	13	Demonclaw	200	LeeSin	JUNGLE	WIN	5	7	8
3518219257	2012	200	CondemmedChicken	100	Garen	TOP	LOSE	4	11	0	MQ2000	100	Taric	SUPPORT	LOSE	2	10	6	Aeternalis1	100	Vi	JUNGLE	LOSE	2	9	4	Yeliang	100	MasterYi	MID	LOSE	3	13	3	I Am Oldman	100	Ashe	ADC	LOSE	8	9	2	G2000mime	200	Lillia	TOP	WIN	4	6	21	Delmar	200	Quinn	MID	WIN	13	3	16	Demonclaw	200	Sivir	ADC	WIN	8	5	17	Sceptalgic	200	Evelynn	JUNGLE	WIN	24	3	5	Threepointstar	200	Galio	SUPPORT	WIN	3	2	18
3525212140	1955	100	Doplare	100	Galio	MID	WIN	7	0	13	imthebeast123	100	Ekko	JUNGLE	WIN	6	4	12	funmblr	100	Vayne	ADC	WIN	3	5	10	China Model	100	Sett	SUPPORT	WIN	4	3	12	Yarna	100	Jax	MID	WIN	9	5	9	CondemmedChicken	200	Urgot	TOP	LOSE	2	9	3	Yeliang	200	Tristana	ADC	LOSE	7	5	4	YummyRicez	200	Morgana	SUPPORT	LOSE	2	6	8	Kliyle	200	Sejuani	JUNGLE	LOSE	2	4	7	Dulk	200	Rumble	MID	LOSE	3	5	5
3525473736	2742	200	Delmar	100	Yone	MID	LOSE	14	10	12	CondemmedChicken	100	Garen	TOP	LOSE	14	5	4	MQ2000	100	Lux	SUPPORT	LOSE	4	11	20	Yeliang	100	Skarner	JUNGLE	LOSE	3	12	22	G2000mime	100	Orianna	ADC	LOSE	6	14	18	Alex Kabam	200	Malphite	MID	WIN	9	12	21	Sceptalgic	200	Irelia	TOP	WIN	1	8	13	Demonclaw	200	Caitlyn	ADC	WIN	13	6	23	YummyRicez	200	Khazix	JUNGLE	WIN	15	8	20	Threepointstar	200	Galio	SUPPORT	WIN	13	7	26
